date,daily_avg
2025-05-21,36.46794396516122
2025-05-22,32.13362079792304
2025-05-23,36.10580965710129
2025-05-24,38.79074996470425
2025-05-25,38.039477636132524
2025-05-26,36.74663171653111
2025-05-27,34.26861133772278
2025-05-28,36.450330837277015
2025-05-29,42.569314093554006
2025-05-30,42.73941530553964
2025-05-31,41.25119701962723
2025-06-01,40.69274703047424
2025-06-02,41.95913310563849
2025-06-03,39.59776525188591
2025-06-04,41.116252556583774
2025-06-05,39.593886590722434
2025-06-06,42.10207690842145
2025-06-07,42.11760257668963
2025-06-08,40.37652106764232
2025-06-09,41.09552901066102
2025-06-10,41.90309925499116
2025-06-11,41.92092053903005
2025-06-12,42.05489324825497
2025-06-13,41.56805523226479
2025-06-14,38.15865578581986
2025-06-16,44.51244755657244
2025-06-17,43.313143496992076
2025-06-18,43.59246117195584
2025-06-19,42.99176513895128
2025-06-20,43.47118724158585
2025-06-21,36.235826716015346
2025-06-22,36.79146058681984
2025-06-23,43.92672739564487
2025-06-24,38.62089459444637
2025-06-25,33.325120966435065
2025-06-26,30.390502581572562
2025-06-27,28.546619187766947
2025-06-28,27.120955663816797
2025-06-29,25.959962714987316
2025-06-30,25.033034171920274
2025-07-01,24.23931349600468
2025-07-02,23.50410918708704
2025-07-03,22.865012919911358
2025-07-04,22.572738335756007
2025-07-05,22.184201895311695
2025-07-06,21.77135751115072
2025-07-07,29.14377607163306
2025-07-08,43.78366820244915
2025-07-09,42.914079751587856
2025-07-10,40.62911037012558
2025-07-11,40.02738902701397
2025-07-12,39.03781182528148
2025-07-13,35.731423174009024
2025-07-14,33.00970809513077
2025-07-15,30.653243208454676
2025-07-16,28.763083611801676
2025-07-17,38.315838073084024
2025-07-18,35.965784847191024
2025-07-19,32.76121373084753
2025-07-20,30.33828277927552
2025-07-21,28.510681020131592
2025-07-22,27.075496893658663
2025-07-23,26.251241059968503
2025-07-24,24.900755885676478
2025-07-25,24.30346227989544
2025-07-26,23.694599589658772
2025-07-27,23.18807227393884
2025-07-28,22.76271999460931
2025-07-29,22.400180168933023
2025-07-30,22.093563932751554
2025-07-31,21.826358350309704
2025-08-01,21.59818060053944
2025-08-02,21.399190366680244
2025-08-03,21.25087098499245
2025-08-04,41.85289051602512
2025-08-05,38.81398334819931
2025-08-06,40.13231407105557
2025-08-07,41.77902022797584
2025-08-08,41.37937979051561
2025-08-09,41.423218426649214
2025-08-10,41.16489039668742
2025-08-11,41.06621503217852
2025-08-12,39.52924065375482
2025-08-13,41.18507498085566
2025-08-14,41.401372876536385
2025-08-15,39.76975519173473
2025-08-16,36.90554934723307
2025-08-17,34.78774387515305
2025-08-18,32.64339624823005
2025-08-19,29.299848977941352
2025-08-20,28.11491603920311
2025-08-21,26.859639479035813
2025-08-22,25.821094946274982
2025-08-23,25.032156699312775
2025-08-24,24.334963553783407
2025-08-25,31.581157329342183
2025-08-26,37.43203740362969
2025-08-27,37.17802549490829
2025-08-28,37.07153748178096
2025-08-29,39.17275212542782
